num,time,x,y,z
236,8032,0.64045566,-0.411819876,10.11108852
237,8032,1.181590956,-0.306990216,11.663485704
238,8032,1.354521636,0.01453842,9.478896804
239,8032,1.322384076,-0.354737448,11.008950732
240,8032,1.644983964,-0.236593656,11.030681844
241,8032,0.923419224,-0.04285008,9.985139892
242,8032,0.639231372,0.064122084,9.452574612
243,8032,0.924643512,-1.084719168,9.027899712
244,8032,0.80879526,-0.633262968,8.201658348
245,8033,1.169042004,-0.134977752,8.394942816
246,8032,1.609479612,0.032443632,8.873639424
247,8032,1.311671556,-1.05135732,10.32839964
248,8035,1.460881656,-0.752324976,9.34743888
249,8030,0.697691124,-0.0267813,9.488232
250,8032,0.814610628,0.411054696,10.942992216
251,8032,1.13552712,-0.095341428,9.044580636
252,8032,0.685142172,-0.15533154,8.791306056
253,8032,1.575658656,-0.815528844,9.802108836
254,8032,1.653247908,-0.832056732,9.034939368
255,8032,1.188783648,-0.609236316,11.147601348
256,8032,1.664419536,0.128244168,12.105453672
257,8032,0.349534224,-0.873223416,10.237955364
258,8032,0.317243628,-0.455741208,7.802234388
259,8032,0.623009556,-0.109879848,6.518262348
260,8032,0.986776128,-0.136661148,8.139831804
261,8033,1.118846196,-0.188540352,11.20376556
262,8032,1.533879828,-0.269496396,9.57087144
263,8032,-0.074528532,-0.247765284,9.679220928
264,8032,0.551235672,0.417635244,9.974733444
265,8032,0.166656204,-0.19282536,10.140318396
266,8032,0.731971188,-0.508232556,8.592053184
267,8032,1.943098092,-0.873529488,11.85416856
268,8031,1.157105196,-1.0674261,11.197950192
269,8032,0.70702632,-0.601125408,11.71796652
270,8032,0.460026216,-0.07422246,10.993494096
271,8032,-0.675041796,-0.2104245,10.185923124
272,8032,0.148904028,-0.746968716,9.762472512
273,8032,-0.162371196,-0.585515736,7.698322944
274,8032,0.603420948,0.207210744,8.546448456
275,8032,0.997947756,0.50960988,10.024317108
276,8032,0.428041692,-0.51802686,9.997229736
277,8032,0.570365172,0.369275868,9.31453614
278,8033,0.308826648,-0.492316812,8.78885748
279,8038,1.291011696,-0.741153348,7.806825468
280,8026,-0.18976464,-0.323518104,8.502527124
281,8032,2.490201792,-0.318008808,11.139796512
282,8032,0.072386028,0.269496396,11.146530096
283,8032,0.427276512,-0.783085212,11.708172216
284,8032,0.354584412,-0.832056732,9.56704554
285,8032,-0.33820956,-1.325903904,8.268688116
286,8032,1.3237614,-0.94270176,8.212983012
287,8032,0.99014292,0.654075864,10.388695824
288,8032,0.941630508,0.847360332,9.04901868
289,8032,0.49660182,0.248377428,9.8631702
290,8032,0.379223208,0.552153888,11.338743312
291,8032,0.085241052,-1.101706164,9.439872624
292,8032,0.353207088,-1.453229856,9.54715086
293,8032,0.16986996,-1.372273812,9.568269828
294,8032,1.482000624,0.017905212,8.708360544
295,8032,0.94193658,0.340352064,10.448685936
296,8032,0.26704782,-0.692181828,10.542343968
297,8032,0.91362492,-0.202313592,10.010543868
298,8032,-0.12166362,-1.220615136,9.030195252
299,8033,1.164297888,-0.720340452,10.835254872
300,8032,0.77742288,0.792879516,10.710683568
301,8032,0.750182472,-0.03137238,9.806393844
302,8032,1.127416212,-0.015150564,9.285153228
303,8032,0.060296184,-0.693100044,9.084829104
304,8032,0.267506928,-1.665184716,8.831860596
305,8032,0.396975384,-0.830067264,9.307037376
306,8033,0.738704772,0.762425352,9.363201588
307,8032,1.550713788,0.87000966,10.896316236
308,8032,0.857307672,-0.45757764,9.18062964
309,8032,0.398811816,-0.994121856,9.366262308
310,8033,-0.427276512,-1.31763996,9.058506912
311,8032,0.7460505,-0.92816334,11.141632944
312,8032,0.35351316,1.146545712,12.152894832
313,8032,0.587352168,0.403096824,10.737311832
314,8032,0.291686616,0.645199776,8.323015896
315,8032,0.787829328,-0.41855346,8.40779784
316,8032,-0.082945512,-1.975082616,5.65621056
317,8032,0.353360124,-1.627078752,9.42778278
318,8032,1.150983756,1.348859304,9.891328824
319,8033,0.693865224,-0.132682212,11.891815416
320,8032,0.982950228,-0.443651364,10.93671774
321,8032,1.172867904,-0.374326056,8.875475856
322,8032,-0.568375704,-2.189792124,8.302662108
323,8032,0.342494568,-0.856848564,8.904858768
324,8032,0.589800744,0.282198384,11.29864788
325,8032,0.555367644,1.526687136,12.85043292
326,8032,1.479245976,0.724319388,10.09731528
327,8032,0.97254378,-0.545726376,8.034236964
328,8032,0.15762708,-1.9473831,6.405168744
329,8033,-0.118143792,-1.09650294,8.3519397
330,8032,0.222820416,-0.31908006,10.793169972
331,8032,-0.150893496,1.936823616,11.389857336
332,8033,1.235459628,0.664635348,10.668445632
333,8032,0.631579572,-0.389017512,10.081858644
334,8032,1.306468332,-1.453382892,9.799354188
335,8032,1.092370968,-0.379988388,9.459767304
336,8032,0.480992148,-0.7804836,10.36512828
337,8033,0.456506388,-0.105747876,10.204899588
338,8032,0.230013108,1.165063068,10.707010704
339,8032,1.012639212,-0.64581192,8.399533896
340,8032,0.142170444,-0.950200524,8.383618152
341,8032,0.410748624,-0.67488876,9.815576004
342,8033,-0.063050832,0.093198924,9.455788368
343,8032,0.641832984,0.343718856,9.380953764
